"order_id","so_number","product_code","quantity","unit_price","line_total","order_date","fiscal_year","fiscal_month","fiscal_quarter","customer_code","customer_name","province_name","region","product_name","color","line_id","line_name","group_code","group_name","ym","period_label","quarter_label","day_of_week","week_of_year","is_weekend","order_total","n_lines_in_order","line_share_of_order_pct","sku_revenue_rank","sku_pareto_class","sku_bcg_quadrant","sku_rev_share_group_pct","sku_yoy_rev_pct","sku_avg_unit_price","sku_pareto_cum_pct","cust_cohort_month","cust_recency_days","cust_n_orders_q1_2025","cust_revenue_q1_2025","cust_avg_order_value","cust_rfm_r","cust_rfm_f","cust_rfm_m","cust_rfm_segment","cust_churn_label","cust_churn_prob","cust_churn_priority"
7,"BH25.0007","000214004000000",6.0,1498611.11,8991667,"2025-01-08",2025,1,1,"KH-00007","CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI","Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá","Miền Bắc","Xe đạp Thống Nhất GN 05-26","05-26",5.0,"Xe GN 05-26","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",2,2,0,247541204,11,3.63,26.0,"A","Bò sữa",1.79,425.76,1418948.0,48.05,"2025-01",11.0,3.0,282381204.0,94127068.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.2726,"Thấp"
7,"BH25.0007","000331002004000",17.0,1799537.04,30592130,"2025-01-08",2025,1,1,"KH-00007","CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI","Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá","Miền Bắc","Xe đạp Thống Nhất MTB 26-02 Đỏ tươi","Đỏ tươi",18.0,"Xe MTB 26 02","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",2,2,0,247541204,11,12.36,60.0,"B","Dấu hỏi",0.92,797.0,1576535.0,71.99,"2025-01",11.0,3.0,282381204.0,94127068.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.2726,"Thấp"
7,"BH25.0007","1030010000080000",3.0,1289814.81,3869444,"2025-01-08",2025,1,1,"KH-00007","CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI","Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá","Miền Bắc","","","","","","","2025-01","T1/2025","Q1/2025",2,2,0,247541204,11,1.56,"","","","","","","","2025-01",11.0,3.0,282381204.0,94127068.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.2726,"Thấp"
7,"BH25.0007","000131002007000",15.0,1197685.19,17965278,"2025-01-08",2025,1,1,"KH-00007","CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI","Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá","Miền Bắc","Xe đạp Thống Nhất GN 06 20 Coban","Coban",24.0,"Xe GN 06 20","KIDBIKE_1","Xe trẻ em nhóm 1","2025-01","T1/2025","Q1/2025",2,2,0,247541204,11,7.26,190.0,"C","Con chó",0.47,-100.0,1256121.0,98.77,"2025-01",11.0,3.0,282381204.0,94127068.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.2726,"Thấp"
7,"BH25.0007","000401002016002",36.0,1516666.67,54600000,"2025-01-08",2025,1,1,"KH-00007","CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI","Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá","Miền Bắc","Xe đạp Thống Nhất Nữ Truyền thống Lốp 2 màu, Ngọc","Ngọc",22.0,"Xe Nữ","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",2,2,0,247541204,11,22.06,61.0,"B","Dấu hỏi",0.9,798.96,1469551.0,72.5,"2025-01",11.0,3.0,282381204.0,94127068.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.2726,"Thấp"
7,"BH25.0007","000207004000000",5.0,1498611.11,7493056,"2025-01-08",2025,1,1,"KH-00007","CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI","Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá","Miền Bắc","Xe đạp Thống Nhất 219-05-26","219-05-26",1.0,"Xe 219-05-26","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",2,2,0,247541204,11,3.03,9.0,"A","Bò sữa",3.59,460.93,1468023.0,25.09,"2025-01",11.0,3.0,282381204.0,94127068.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.2726,"Thấp"
7,"BH25.0007","1000300050010000",16.0,2943055.56,47088889,"2025-01-08",2025,1,1,"KH-00007","CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI","Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá","Miền Bắc","Xe đạp Thống Nhất MTB SPD 27.5 ( Đen)","Đen",74.0,"Xe MTB SPD 27.5","SPORTBIKE_A","Xe thể thao nhôm","2025-01","T1/2025","Q1/2025",2,2,0,247541204,11,19.02,87.0,"B","Ngôi sao",10.12,-88.82,2313032.0,83.2,"2025-01",11.0,3.0,282381204.0,94127068.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.2726,"Thấp"
8,"BH25.0008","000224002004000",20.0,2222222.22,44444444,"2025-01-09",2025,1,1,"KH-00009","CỬA HÀNG XE ĐẠP THIÊN AN","Hà Nội","Miền Bắc","Xe đạp Thống Nhất New 24 Đỏ tươi","Đỏ tươi",20.0,"Xe New 24","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",3,2,0,44444444,1,100.0,80.0,"B","Con chó",0.68,143.51,1436817.0,80.62,"2025-01",81.0,1.0,44444444.0,44444444.0,1.0,2.0,3.0,"Có nguy cơ rời bỏ",0.0,0.8241,"Cao"
9,"BH25.0009","000218004005000",2.0,3324074.07,6648148,"2025-01-09",2025,1,1,"KH-00008","CÔNG TY CỔ PHẦN YÊN BÌNH","Hưng Yên","Miền Bắc","Xe đạp Thống Nhất GN 06-27 2.0 Pro Cam","Cam",61.0,"Xe GN 06-27 2.0 Pro","SPORTBIKE_S","Xe thể thao thép","2025-01","T1/2025","Q1/2025",3,2,0,6648148,1,100.0,226.0,"C","Dấu hỏi",0.35,-100.0,2289759.0,99.82,"2025-01",81.0,1.0,6648148.0,6648148.0,1.0,2.0,1.0,"Có nguy cơ rời bỏ",0.0,0.8992,"Cao"
10,"BH25.0010","1000270020150000",3.0,500000.0,1500000,"2025-01-09",2025,1,1,"KH-00010","CỬA HÀNG XE ĐẠP QUANG VINH","Thái Nguyên","Miền Bắc","Xe đạp Thống Nhất TE Spaceboy 16 Café/nâu","Café/nâu",46.0,"Xe Spaceboy 16","KIDBIKE_2","Xe trẻ em nhóm 2","2025-01","T1/2025","Q1/2025",3,2,0,17104444,7,8.77,64.0,"B","Bò sữa",11.77,484.75,855341.0,73.94,"2025-01",6.0,5.0,210870876.0,42174175.0,3.0,5.0,5.0,"Cần theo dõi",0.0,0.668,"Cao"
10,"BH25.0010","1000270020220000",3.0,500000.0,1500000,"2025-01-09",2025,1,1,"KH-00010","CỬA HÀNG XE ĐẠP QUANG VINH","Thái Nguyên","Miền Bắc","Xe đạp Thống Nhất TE Spaceboy 16 Xanh dương","Xanh dương",46.0,"Xe Spaceboy 16","KIDBIKE_2","Xe trẻ em nhóm 2","2025-01","T1/2025","Q1/2025",3,2,0,17104444,7,8.77,47.0,"A","Bò sữa",16.32,769.66,787498.0,64.41,"2025-01",6.0,5.0,210870876.0,42174175.0,3.0,5.0,5.0,"Cần theo dõi",0.0,0.668,"Cao"
10,"BH25.0010","000117002023000",5.0,500000.0,2500000,"2025-01-09",2025,1,1,"KH-00010","CỬA HÀNG XE ĐẠP QUANG VINH","Thái Nguyên","Miền Bắc","Xe đạp thống nhất TE Bunny 16 Kem","Kem",41.0,"Xe Bunny 16","KIDBIKE_2","Xe trẻ em nhóm 2","2025-01","T1/2025","Q1/2025",3,2,0,17104444,7,14.62,148.0,"C","Dấu hỏi",2.52,1087.6,729317.0,95.49,"2025-01",6.0,5.0,210870876.0,42174175.0,3.0,5.0,5.0,"Cần theo dõi",0.0,0.668,"Cao"
10,"BH25.0010","000117002023000",10.0,500000.0,5000000,"2025-01-09",2025,1,1,"KH-00010","CỬA HÀNG XE ĐẠP QUANG VINH","Thái Nguyên","Miền Bắc","Xe đạp thống nhất TE Bunny 16 Kem","Kem",41.0,"Xe Bunny 16","KIDBIKE_2","Xe trẻ em nhóm 2","2025-01","T1/2025","Q1/2025",3,2,0,17104444,7,29.23,148.0,"C","Dấu hỏi",2.52,1087.6,729317.0,95.49,"2025-01",6.0,5.0,210870876.0,42174175.0,3.0,5.0,5.0,"Cần theo dõi",0.0,0.668,"Cao"
10,"BH25.0010","1000210020090000",3.0,470000.0,1410000,"2025-01-09",2025,1,1,"KH-00010","CỬA HÀNG XE ĐẠP QUANG VINH","Thái Nguyên","Miền Bắc","Xe đạp Thống Nhất TE Love 12 Hồng","Hồng",42.0,"Xe Love 12","KIDBIKE_2","Xe trẻ em nhóm 2","2025-01","T1/2025","Q1/2025",3,2,0,17104444,7,8.24,98.0,"B","Bò sữa",6.66,499.11,922862.0,86.49,"2025-01",6.0,5.0,210870876.0,42174175.0,3.0,5.0,5.0,"Cần theo dõi",0.0,0.668,"Cao"
10,"BH25.0010","1000220020090000",3.0,500000.0,1500000,"2025-01-09",2025,1,1,"KH-00010","CỬA HÀNG XE ĐẠP QUANG VINH","Thái Nguyên","Miền Bắc","Xe đạp Thống Nhất TE Love 16 Hồng","Hồng",43.0,"Xe Love 16","KIDBIKE_2","Xe trẻ em nhóm 2","2025-01","T1/2025","Q1/2025",3,2,0,17104444,7,8.77,145.0,"C","Con chó",2.71,340.15,718267.0,95.18,"2025-01",6.0,5.0,210870876.0,42174175.0,3.0,5.0,5.0,"Cần theo dõi",0.0,0.668,"Cao"
10,"BH25.0010","1040010000080000",3.0,1231481.48,3694444,"2025-01-09",2025,1,1,"KH-00010","CỬA HÀNG XE ĐẠP QUANG VINH","Thái Nguyên","Miền Bắc","","","","","","","2025-01","T1/2025","Q1/2025",3,2,0,17104444,7,21.6,"","","","","","","","2025-01",6.0,5.0,210870876.0,42174175.0,3.0,5.0,5.0,"Cần theo dõi",0.0,0.668,"Cao"
11,"BH25.0011","000218002007000",1.0,2305555.56,2305556,"2025-01-09",2025,1,1,"KH-00011","DOANH NGHIỆP TW NAM TIẾN","Hà Nội","Miền Bắc","Xe đạp Thống Nhất GN 06-27 Coban","Coban",11.0,"Xe GN 06-27","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",3,2,0,2305556,1,100.0,82.0,"B","Con chó",0.67,34.96,1600969.0,81.37,"2025-01",25.0,2.0,4611112.0,2305556.0,2.0,4.0,1.0,"Cần chăm sóc đặc biệt",1.0,0.9355,"Cao"
17,"BH25.0012","000226003015000",1.0,2592592.59,2592593,"2025-01-10",2025,1,1,"KH-00012","HỘ KINH DOANH THIÊN AN","Hà Nội","Miền Bắc","Xe đạp Thống Nhất LD 24-01_2023 Café/nâu","Café/nâu",13.0,"Xe LD 24-01_2023","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",4,2,0,2592593,1,100.0,34.0,"A","Bò sữa",1.38,274.16,1482826.0,55.15,"2025-01",21.0,2.0,5185186.0,2592593.0,2.0,4.0,1.0,"Cần chăm sóc đặc biệt",1.0,0.9388,"Cao"
16,"BH25.0013","000225002007000",1.0,2490740.74,2490741,"2025-01-10",2025,1,1,"KH-00013","DOANH NGHIỆP TW THANH BÌNH","Hưng Yên","Miền Bắc","Xe đạp Thống Nhất New 26 Coban","Coban","","","","","2025-01","T1/2025","Q1/2025",4,2,0,2490741,1,100.0,"","","","","","","","2025-01",80.0,1.0,2490741.0,2490741.0,1.0,2.0,1.0,"Có nguy cơ rời bỏ",1.0,0.9056,"Cao"
18,"BH25.0014","000224002009000",2.0,1130000.0,2260000,"2025-01-10",2025,1,1,"KH-00014","HỘ KINH DOANH LONG PHÚ","Bắc Ninh","Miền Bắc","Xe đạp Thống Nhất New 24 Hồng","Hồng",20.0,"Xe New 24","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",4,2,0,42780000,19,5.28,45.0,"A","Bò sữa",1.2,455.84,1289070.0,63.08,"2025-01",14.0,3.0,119270000.0,39756667.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.8185,"Cao"
18,"BH25.0014","000224002002000",3.0,1130000.0,3390000,"2025-01-10",2025,1,1,"KH-00014","HỘ KINH DOANH LONG PHÚ","Bắc Ninh","Miền Bắc","Xe đạp Thống Nhất New 24 Trắng","Trắng",20.0,"Xe New 24","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",4,2,0,42780000,19,7.92,19.0,"A","Ngôi sao",2.03,532.04,1353697.0,40.62,"2025-01",14.0,3.0,119270000.0,39756667.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.8185,"Cao"
18,"BH25.0014","000224002015000",2.0,1130000.0,2260000,"2025-01-10",2025,1,1,"KH-00014","HỘ KINH DOANH LONG PHÚ","Bắc Ninh","Miền Bắc","Xe đạp Thống Nhất New 24 Café/nâu","Café/nâu",20.0,"Xe New 24","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",4,2,0,42780000,19,5.28,14.0,"A","Ngôi sao",2.89,702.1,1354756.0,34.23,"2025-01",14.0,3.0,119270000.0,39756667.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.8185,"Cao"
18,"BH25.0014","000225002023000",3.0,1180000.0,3540000,"2025-01-10",2025,1,1,"KH-00014","HỘ KINH DOANH LONG PHÚ","Bắc Ninh","Miền Bắc","Xe đạp Thống Nhất New 26 Kem","Kem",21.0,"Xe New 26","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",4,2,0,42780000,19,8.27,1.0,"A","Ngôi sao",9.2,610.63,1424571.0,5.15,"2025-01",14.0,3.0,119270000.0,39756667.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.8185,"Cao"
18,"BH25.0014","000225002002000",4.0,1180000.0,4720000,"2025-01-10",2025,1,1,"KH-00014","HỘ KINH DOANH LONG PHÚ","Bắc Ninh","Miền Bắc","Xe đạp Thống Nhất New 26 Trắng","Trắng",21.0,"Xe New 26","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",4,2,0,42780000,19,11.03,6.0,"A","Bò sữa",4.37,429.46,1474788.0,18.88,"2025-01",14.0,3.0,119270000.0,39756667.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.8185,"Cao"
18,"BH25.0014","000225002015000",3.0,1180000.0,3540000,"2025-01-10",2025,1,1,"KH-00014","HỘ KINH DOANH LONG PHÚ","Bắc Ninh","Miền Bắc","Xe đạp Thống Nhất New 26 Café/nâu","Café/nâu",21.0,"Xe New 26","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",4,2,0,42780000,19,8.27,4.0,"A","Ngôi sao",4.71,579.43,1446645.0,13.88,"2025-01",14.0,3.0,119270000.0,39756667.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.8185,"Cao"
18,"BH25.0014","000225002025000",2.0,1180000.0,2360000,"2025-01-10",2025,1,1,"KH-00014","HỘ KINH DOANH LONG PHÚ","Bắc Ninh","Miền Bắc","Xe đạp Thống Nhất New 26 Xanh mint","Xanh mint",21.0,"Xe New 26","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",4,2,0,42780000,19,5.52,13.0,"A","Ngôi sao",3.05,502.22,1408738.0,32.61,"2025-01",14.0,3.0,119270000.0,39756667.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.8185,"Cao"
18,"BH25.0014","000125002009000",2.0,1050000.0,2100000,"2025-01-10",2025,1,1,"KH-00014","HỘ KINH DOANH LONG PHÚ","Bắc Ninh","Miền Bắc","Xe đạp Thống Nhất Puppy 20 Hồng","Hồng",32.0,"Xe Puppy 20","KIDBIKE_1","Xe trẻ em nhóm 1","2025-01","T1/2025","Q1/2025",4,2,0,42780000,19,4.91,8.0,"A","Ngôi sao",18.49,884.3,1234523.0,23.08,"2025-01",14.0,3.0,119270000.0,39756667.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.8185,"Cao"
18,"BH25.0014","000125002002000",1.0,1050000.0,1050000,"2025-01-10",2025,1,1,"KH-00014","HỘ KINH DOANH LONG PHÚ","Bắc Ninh","Miền Bắc","Xe đạp Thống Nhất Puppy 20 Trắng","Trắng",32.0,"Xe Puppy 20","KIDBIKE_1","Xe trẻ em nhóm 1","2025-01","T1/2025","Q1/2025",4,2,0,42780000,19,2.45,53.0,"A","Ngôi sao",5.39,737.92,1181148.0,68.17,"2025-01",14.0,3.0,119270000.0,39756667.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.8185,"Cao"
18,"BH25.0014","1000240020090000",3.0,500000.0,1500000,"2025-01-10",2025,1,1,"KH-00014","HỘ KINH DOANH LONG PHÚ","Bắc Ninh","Miền Bắc","Xe đạp Thống Nhất TE Bunny 16 Hồng","Hồng",41.0,"Xe Bunny 16","KIDBIKE_2","Xe trẻ em nhóm 2","2025-01","T1/2025","Q1/2025",4,2,0,42780000,19,3.51,42.0,"A","Ngôi sao",17.45,1146.38,776996.0,61.0,"2025-01",14.0,3.0,119270000.0,39756667.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.8185,"Cao"
18,"BH25.0014","1000240020220000",2.0,500000.0,1000000,"2025-01-10",2025,1,1,"KH-00014","HỘ KINH DOANH LONG PHÚ","Bắc Ninh","Miền Bắc","Xe đạp Thống Nhất TE Bunny 16 Xanh dương","Xanh dương",41.0,"Xe Bunny 16","KIDBIKE_2","Xe trẻ em nhóm 2","2025-01","T1/2025","Q1/2025",4,2,0,42780000,19,2.34,114.0,"C","Dấu hỏi",5.36,1023.13,776494.0,90.24,"2025-01",14.0,3.0,119270000.0,39756667.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.8185,"Cao"
18,"BH25.0014","1000230020090000",3.0,470000.0,1410000,"2025-01-10",2025,1,1,"KH-00014","HỘ KINH DOANH LONG PHÚ","Bắc Ninh","Miền Bắc","Xe đạp Thống Nhất TE Bunny 12 Hồng","Hồng",40.0,"Xe Bunny 12","KIDBIKE_2","Xe trẻ em nhóm 2","2025-01","T1/2025","Q1/2025",4,2,0,42780000,19,3.3,72.0,"B","Ngôi sao",10.31,1390.93,706682.0,77.48,"2025-01",14.0,3.0,119270000.0,39756667.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.8185,"Cao"
18,"BH25.0014","1000220020090000",3.0,500000.0,1500000,"2025-01-10",2025,1,1,"KH-00014","HỘ KINH DOANH LONG PHÚ","Bắc Ninh","Miền Bắc","Xe đạp Thống Nhất TE Love 16 Hồng","Hồng",43.0,"Xe Love 16","KIDBIKE_2","Xe trẻ em nhóm 2","2025-01","T1/2025","Q1/2025",4,2,0,42780000,19,3.51,145.0,"C","Con chó",2.71,340.15,718267.0,95.18,"2025-01",14.0,3.0,119270000.0,39756667.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.8185,"Cao"
18,"BH25.0014","1000220020220000",1.0,500000.0,500000,"2025-01-10",2025,1,1,"KH-00014","HỘ KINH DOANH LONG PHÚ","Bắc Ninh","Miền Bắc","Xe đạp Thống Nhất TE Love 16 Xanh dương","Xanh dương",43.0,"Xe Love 16","KIDBIKE_2","Xe trẻ em nhóm 2","2025-01","T1/2025","Q1/2025",4,2,0,42780000,19,1.17,115.0,"C","Dấu hỏi",5.16,962.42,1010917.0,90.45,"2025-01",14.0,3.0,119270000.0,39756667.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.8185,"Cao"
